step	train
24	0.6952787637710571
49	0.6937174797058105
74	0.693659245967865
99	0.6923443675041199
124	0.6917223930358887
149	0.6959525346755981
174	0.6937780380249023
199	0.6946185827255249
224	0.6943703889846802
249	0.6925550699234009
274	0.6935197114944458
299	0.6967819333076477
324	0.6937686800956726
349	0.693085253238678
374	0.690898060798645
399	0.6920979619026184
424	0.694219172000885
449	0.6926094889640808
474	0.6891262531280518
499	0.6898921132087708
524	0.692543625831604
549	0.6939465999603271
574	0.6913074851036072
599	0.6952630281448364
624	0.6907048225402832
649	0.6909346580505371
674	0.6951597332954407
699	0.6949195861816406
724	0.6899993419647217
749	0.6930627822875977
774	0.6984258890151978
799	0.6946592330932617
824	0.6932407021522522
849	0.6921391487121582
874	0.6949533820152283
899	0.6895638108253479
924	0.6935177445411682
949	0.6926743388175964
974	0.6996273994445801
999	0.6907661557197571
1024	0.6911425590515137
1049	0.6961219310760498
1074	0.6932578682899475
1099	0.6945356130599976
1124	0.6871691942214966
1149	0.6886224746704102
1174	0.6896662712097168
1199	0.6909464001655579
1224	0.695044994354248
1249	0.6951367259025574
1274	0.6931201219558716
1299	0.689297080039978
1324	0.6913250684738159
1349	0.693586528301239
1374	0.6934057474136353
1399	0.6911926865577698
1424	0.6892240643501282
1449	0.6916850209236145
1474	0.6907062530517578
1499	0.6887834072113037
1524	0.6857150197029114
1549	0.6818960905075073
1574	0.6920886039733887
1599	0.6861155033111572
1624	0.7000121474266052
1649	0.7050607204437256
1674	0.689742922782898
1699	0.6946613788604736
1724	0.6900923848152161
1749	0.6883182525634766
1774	0.6976662278175354
1799	0.692075252532959
1824	0.6872763633728027
1849	0.6998496055603027
1874	0.693254828453064
1899	0.6899420022964478
1924	0.6929775476455688
1949	0.6963580250740051
1974	0.6890660524368286
1999	0.689239501953125
2024	0.6923271417617798
2049	0.6830160617828369
2074	0.687289834022522
2099	0.6977560520172119
2124	0.6960690021514893
2149	0.6953599452972412
2174	0.6924962401390076
2199	0.6972118616104126
2224	0.6958551406860352
2249	0.697711169719696
2274	0.696022629737854
2299	0.6922625303268433
2324	0.6949462890625
2349	0.6931420564651489
2374	0.6961181163787842
2399	0.6941847801208496
2424	0.6995548605918884
2449	0.6928242444992065
2474	0.6915113925933838
2499	0.6981188058853149
2524	0.6951537132263184
2549	0.6940568685531616
2574	0.6947617530822754
2599	0.6929707527160645
2624	0.6982114911079407
2649	0.6938692927360535
2674	0.6976217031478882
2699	0.6965735554695129
2724	0.6883698105812073
2749	0.6937930583953857
2774	0.701886773109436
2799	0.684715747833252
2824	0.69426429271698
2849	0.6873823404312134
2874	0.6863459944725037
2899	0.687099277973175
2924	0.6933987140655518
2949	0.703630268573761
2974	0.6922973394393921
2999	0.6941993236541748
3024	0.6903055310249329
3049	0.6945540904998779
3074	0.6901237368583679
3099	0.6937633752822876
3124	0.6926808953285217
3149	0.6969674825668335
3174	0.6948964595794678
3199	0.6939241886138916
3224	0.686365008354187
3249	0.6924078464508057
3274	0.6910433769226074
3299	0.6951913237571716
3324	0.6896162629127502
3349	0.6896392107009888
3374	0.6899491548538208
3399	0.7007099986076355
3424	0.685163140296936
3449	0.691723644733429
3474	0.6942259073257446
3499	0.6942175626754761
3524	0.6964318156242371
3549	0.6901795864105225
3574	0.6960541009902954
3599	0.6907591223716736
3624	0.6941491961479187
3649	0.6958510279655457
